MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
1,2,SNA,91,SLC,87,588.0,2,1.0,DL,139.5
1,2,FLL,33,EWR,21,1065.0,2,1.0,WN,140.27
1,3,DCA,38,ORD,41,612.0,2,1.0,AA,354.0
1,2,SNA,91,DTW,43,1960.0,2,2.0,DL,333.5
1,4,PHX,81,ATL,34,1587.0,2,4.0,DL,321.0
1,1,TPA,33,DEN,82,1506.0,2,1.0,UA,220.5
1,4,SNA,91,SEA,93,978.0,2,1.0,AS,205.0
1,3,MHT,14,BWI,35,377.0,2,1.0,WN,196.5
1,4,MCO,33,EWR,21,937.0,2,2.0,UA,269.5
1,4,MCO,33,OMA,65,1211.0,2,1.0,WN,110.65
1,2,LAX,91,HNL,2,2556.0,1,1.0,AA,300.0
1,4,ORD,41,SLC,87,1250.0,2,1.0,DL,293.5
1,2,MDW,41,AUS,74,972.0,2,1.0,WN,109.0
1,4,BOS,13,SAN,91,2588.0,2,1.0,AS,304.2
1,2,TPA,33,DFW,74,929.0,2,1.0,AA,380.5
1,3,MCO,33,SJU,3,1189.0,1,4.0,WN,159.5
1,1,DTW,43,PHX,81,1671.0,2,1.0,AA,203.0
1,2,OGG,2,LAX,91,2486.0,1,2.0,HA,263.0
1,2,IAH,74,SJC,91,1608.0,2,1.0,UA,273.33
1,3,JFK,22,SYR,22,209.0,2,3.0,B6,208.0
1,1,MDW,41,CHS,37,745.0,2,1.0,WN,217.51
1,2,SAT,74,SAN,91,1129.0,2,1.0,WN,188.0
1,3,ORD,41,LAX,91,1744.0,2,1.0,UA,517.5
1,2,JAC,88,ORD,41,1162.0,2,2.0,UA,441.0
1,2,BWI,35,PHX,81,1999.0,2,1.0,WN,271.5
1,4,LAS,85,IND,42,1590.0,2,9.0,F9,79.0
1,1,JFK,22,SRQ,33,1041.0,2,1.0,B6,710.0
1,2,ATL,34,SYR,22,794.0,2,1.0,DL,288.0
1,1,SFO,91,BOS,13,2704.0,2,3.0,UA,406.0
1,2,VPS,33,DFW,74,641.0,2,1.0,AA,149.0
1,1,JAC,88,DEN,82,406.0,2,2.0,UA,287.5
